Processed 26334 csets from 1224 developers
53 employers found
A total of 7124526 lines added, 4583285 removed (delta 2541241)

Developers with unknown affiliation
Dr. Stefan Schimanski      513 (1.9%)
Random-Liu                 277 (1.1%)
Joe Beda                   217 (0.8%)
Lucas Käldström          161 (0.6%)
Hongchao Deng              133 (0.5%)
Harry Zhang                119 (0.5%)
Deyuan Deng                117 (0.4%)
Pengfei Ni                  96 (0.4%)
Timothy St. Clair           81 (0.3%)
mqliang                     80 (0.3%)
Ilya Dmitrichenko           66 (0.3%)
Klaus Ma                    57 (0.2%)
Xiang Li                    55 (0.2%)
Tamer Tas                   55 (0.2%)
He Simei                    54 (0.2%)
Matt Bruzek                 53 (0.2%)
NickrenREN                  44 (0.2%)
Eric Chiang                 44 (0.2%)
Sam Ghods                   42 (0.2%)
Angus Lees                  40 (0.2%)
Rudi Chiarito               39 (0.1%)
jiangyaoguo                 37 (0.1%)
Kelsey Hightower            34 (0.1%)
Cole Mickens                33 (0.1%)
Michael Fraenkel            31 (0.1%)
fmeng                       30 (0.1%)
Kenjiro Nakayama            27 (0.1%)
Anastasis Andronidis        26 (0.1%)
Łukasz Oleś               25 (0.1%)
m1093782566                 25 (0.1%)
Claire Li                   25 (0.1%)
Charles Butler              24 (0.1%)
Muhammed Uluyol             24 (0.1%)
Jimmi Dyson                 23 (0.1%)
BenTheElder                 22 (0.1%)
BC Broussard                22 (0.1%)
Aaron Crickenberger         21 (0.1%)
zhouhaibing089              20 (0.1%)
Masahiro Sano               20 (0.1%)
Justin Huff                 20 (0.1%)
Trevor Pounds               19 (0.1%)
Brad Erickson               19 (0.1%)
chrislovecnm                18 (0.1%)
Daniel Martí               18 (0.1%)
Dmitry Shulyak              17 (0.1%)
Davide Agnello              17 (0.1%)
Jeff Bean                   17 (0.1%)
Johannes Scheuermann        16 (0.1%)
Ananya Kumar                16 (0.1%)
Maciej Kwiek                15 (0.1%)
wizard                      15 (0.1%)
António Meireles           15 (0.1%)
Young                       15 (0.1%)
Alejandro Escobar           14 (0.1%)
Christoph Blecker           14 (0.1%)
Meir Fischer                13 (0.0%)
timchenxiaoyu               12 (0.0%)
Manuel de Brito Fontes      12 (0.0%)
Alexander Block             12 (0.0%)
Adam Sunderland             12 (0.0%)
Patrick Reilly              12 (0.0%)
Steve Reed                  12 (0.0%)
Elson Rodriguez             11 (0.0%)
Rodrigo Campos              11 (0.0%)
Mike Metral                 11 (0.0%)
Shawn Smith                 11 (0.0%)
Yuki Sonoda (Yugui)         11 (0.0%)
Nitish                      10 (0.0%)
James Ravn                  10 (0.0%)
sebgoa                      10 (0.0%)
Jędrzej Nowak              10 (0.0%)
Jonathan Wills              10 (0.0%)
Casey Davenport              9 (0.0%)
Rajdeep Dua                  9 (0.0%)
Mikaël Cluseau              9 (0.0%)
Haney Maxwell                9 (0.0%)
Christian Simon              8 (0.0%)
Weixu Zhuang                 8 (0.0%)
Gurpartap Singh              8 (0.0%)
wlan0                        7 (0.0%)
p0lyn0mial                   7 (0.0%)
Rohith                       7 (0.0%)
Matt T. Proud                7 (0.0%)
Christian Stewart            7 (0.0%)
Matthias Luebken             7 (0.0%)
Sam Abed                     7 (0.0%)
Ben McCann                   7 (0.0%)
Ido Shamun                   7 (0.0%)
Xianglin Gao                 6 (0.0%)
Guangya Liu                  6 (0.0%)
Chakravarthy Nelluri         6 (0.0%)
Marko Luksa                  6 (0.0%)
Aaron.L.Xu                   6 (0.0%)
Crazykev                     6 (0.0%)
Ramit Surana                 6 (0.0%)
Kel Cecil                    6 (0.0%)
Michael Schmidt              6 (0.0%)
Kenneth Shelton              6 (0.0%)
Ed Costello                  6 (0.0%)
Dai Zuozhuo                  6 (0.0%)
Tony Hsu                     6 (0.0%)
Ryan Fowler                  6 (0.0%)
Gurvinder Singh              6 (0.0%)
Manfred Geiler               6 (0.0%)
Alen Komljen                 6 (0.0%)
Remco                        6 (0.0%)
Jayson Raymond               6 (0.0%)
Julien Balestra              5 (0.0%)
Di Xu                        5 (0.0%)
peay                         5 (0.0%)
joe2far                      5 (0.0%)
Matt Freeman                 5 (0.0%)
Ihor Dvoretskyi              5 (0.0%)
Arsen Mamikonyan             5 (0.0%)
YuviPanda                    5 (0.0%)
Jean-Francois Chevrette      5 (0.0%)
Ravi Gadde                   5 (0.0%)
fabianofranz                 5 (0.0%)
George Kuan                  5 (0.0%)
Nan Monnand Deng             5 (0.0%)
Christian Koep               4 (0.0%)
Andrea Cosentino             4 (0.0%)
Sebastian Florek             4 (0.0%)
Andrew Rynhard               4 (0.0%)
Mayank Kumar                 4 (0.0%)
Sean M. Collins              4 (0.0%)
Jun Gong                     4 (0.0%)
Kevin Wang                   4 (0.0%)
Gyu-Ho Lee                   4 (0.0%)
Philibert Dugas              4 (0.0%)
Thom May                     4 (0.0%)
Anish Bhatt                  4 (0.0%)
Shaya Potter                 4 (0.0%)
Thomas Liu                   4 (0.0%)
kulke                        4 (0.0%)
Marc Lough                   4 (0.0%)
Nagarjun                     4 (0.0%)
Olivier Lemasle              4 (0.0%)
Thibault Serot               4 (0.0%)
Mark deVilliers              4 (0.0%)
Jerome Touffe-Blin           4 (0.0%)
Antoine Cotten               4 (0.0%)
Sebastien LAWNICZAK          4 (0.0%)
Steve Sloka                  4 (0.0%)
Rimantas Mocevicius          4 (0.0%)
tummychow                    4 (0.0%)
Sreekanth Pothanis           4 (0.0%)
Lv Lv                        4 (0.0%)
